Company Code	Template Code	Year	Period Group	Company Code	Template Code	Year	Period Group	Period	Employee Code	First Name	Last Name	Discount	LifeInsurance	TFO	SALARY	OVERTIME	BONUS	OTHER EARNING	ANNUAL LEAVE	13 SALARY	TRAVELING	SOCIAL INS.	INCOME TAX	PROV. FUND	ADVANCES	OTHER DEDUCTIONS	PROV. F. LOAN	SPECIAL TAX	SOCIAL INS.	INDUSTRIAL	PROV. FUND	SOC. COHESION	UNEMPLOYMENT	SPECIAL TAX	Insurable	Monthly Units
				01	1001	2014	201401	201407	005	ANDRI	CHRISTODOULOU	25,00	0,00		950,00	0,00	0,00	0,00	0,00	0,00	0,00	74,10	0,00	0,00	0,00	0,00	0,00	0,00	74,10	4,75	0,00	19,00	11,40	0,00		173,33
				01	1001	2014	201401	201407	006	STEFANOS	CONSTANTINOU	25,00	0,00		692,30	0,00	0,00	0,00	0,00	0,00	0,00	54,00	0,00	0,00	0,00	0,00	0,00	0,00	54,00	3,46	0,00	13,85	8,31	0,00		80,00
				01	1001	2014	201401	201408	001	THEODORA	PETROU	25,00	0,00		1100,00	0,00	0,00	0,00	0,00	0,00	0,00	85,80	0,00	0,00	0,00	0,00	0,00	0,00	85,80	5,50	0,00	22,00	13,20	0,00		173,33
				01	1001	2014	201401	201408	003	ALIKI	YIANNAKOU	25,00	0,00		1100,00	0,00	0,00	0,00	0,00	0,00	0,00	85,80	0,00	0,00	0,00	0,00	0,00	0,00	85,80	5,50	0,00	22,00	13,20	0,00		173,33
				01	1001	2014	201401	201408	004	MARIOS	RAYIAS	40,00	47,50		1700,00	0,00	0,00	0,00	0,00	0,00	0,00	132,60	0,00	0,00	0,00	0,00	0,00	5,00	132,60	8,50	0,00	34,00	20,40	5,00		173,33
				01	1001	2014	201401	201408	005	ANDRI	CHRISTODOULOU	25,00	0,00		950,00	0,00	0,00	0,00	0,00	0,00	0,00	74,10	0,00	0,00	0,00	0,00	0,00	0,00	74,10	4,75	0,00	19,00	11,40	0,00		173,33
				01	1001	2014	201401	201408	006	STEFANOS	CONSTANTINOU	25,00	0,00		1500,00	0,00	0,00	0,00	0,00	0,00	0,00	117,00	0,00	0,00	0,00	0,00	0,00	0,00	117,00	7,50	0,00	30,00	18,00	0,00		173,33
				01	1001	2014	201401	201408	007	KYRIACOS	ANTONAKI	25,00	0,00		430,00	0,00	0,00	0,00	0,00	0,00	0,00	33,54	0,00	0,00	0,00	0,00	0,00	0,00	33,54	2,15	0,00	8,60	5,16	0,00		86,00
				01	1001	2014	201401	201408	008	ANTIGONI	ANTONOPOULLOU	25,00	0,00		502,20	0,00	0,00	0,00	0,00	0,00	0,00	39,17	0,00	0,00	0,00	0,00	0,00	0,00	39,17	2,51	0,00	10,04	6,03	0,00		81,00
				01	1001	2014	201401	201408	009	CHRISTIANA	XENOFONTOS	25,00	0,00		364,50	0,00	0,00	0,00	0,00	0,00	0,00	28,43	0,00	0,00	0,00	0,00	0,00	0,00	28,43	1,82	0,00	7,29	4,37	0,00		81,00
				01	1001	2014	201401	201408	014	NATALIA	ROUSOU	25,00	0,00		351,00	0,00	0,00	0,00	0,00	0,00	0,00	27,38	0,00	0,00	0,00	0,00	0,00	0,00	27,38	1,76	0,00	7,02	4,21	0,00		78,00
				01	1001	2014	201401	201409	001	THEODORA	PETROU	25,00	0,00		1100,00	0,00	0,00	0,00	0,00	0,00	0,00	85,80	0,00	0,00	0,00	0,00	0,00	0,00	85,80	5,50	0,00	22,00	13,20	0,00		173,33
				01	1001	2014	201401	201409	003	ALIKI	YIANNAKOU	25,00	0,00		1100,00	0,00	0,00	0,00	0,00	0,00	0,00	85,80	0,00	0,00	0,00	0,00	0,00	0,00	85,80	5,50	0,00	22,00	13,20	0,00		173,33
				01	1001	2014	201401	201409	004	MARIOS	RAYIAS	40,00	47,50		2000,00	0,00	0,00	0,00	0,00	0,00	0,00	156,00	0,00	0,00	0,00	0,00	0,00	6,25	156,00	10,00	0,00	40,00	24,00	6,25		173,33
				01	1001	2014	201401	201409	005	ANDRI	CHRISTODOULOU	25,00	0,00		950,00	0,00	0,00	0,00	0,00	0,00	0,00	74,10	0,00	0,00	0,00	0,00	0,00	0,00	74,10	4,75	0,00	19,00	11,40	0,00		173,33
				01	1001	2014	201401	201409	006	STEFANOS	CONSTANTINOU	25,00	0,00		1500,00	0,00	0,00	0,00	0,00	0,00	0,00	117,00	0,00	0,00	0,00	0,00	0,00	0,00	117,00	7,50	0,00	30,00	18,00	0,00		173,33
				01	1001	2014	201401	201409	007	KYRIACOS	ANTONAKI	25,00	0,00		997,50	0,00	0,00	0,00	0,00	0,00	0,00	77,81	0,00	0,00	0,00	0,00	0,00	0,00	77,81	4,99	0,00	19,95	11,97	0,00		199,50
				01	1001	2014	201401	201409	008	ANTIGONI	ANTONOPOULLOU	25,00	0,00		973,40	0,00	0,00	0,00	0,00	0,00	0,00	75,93	0,00	0,00	0,00	0,00	0,00	0,00	75,93	4,87	0,00	19,47	11,68	0,00		157,00
				01	1001	2014	201401	201409	009	CHRISTIANA	XENOFONTOS	25,00	0,00		486,00	0,00	0,00	0,00	0,00	0,00	0,00	37,91	0,00	0,00	0,00	0,00	0,00	0,00	37,91	2,43	0,00	9,72	5,83	0,00		108,00
				01	1001	2014	201401	201409	009	CHRISTINA	YIANNAPI	25,00	0,00		342,00	0,00	0,00	0,00	0,00	0,00	0,00	26,68	0,00	0,00	0,00	0,00	0,00	0,00	26,68	1,71	0,00	6,84	4,10	0,00		76,00
				01	1001	2014	201401	201409	014	NATALIA	ROUSOU	25,00	0,00		355,50	0,00	0,00	0,00	0,00	0,00	0,00	27,73	0,00	0,00	0,00	0,00	0,00	0,00	27,73	1,78	0,00	7,11	4,27	0,00		79,00
				01	1001	2014	201401	201410	001	THEODORA	PETROU	25,00	0,00		1100,00	0,00	0,00	0,00	0,00	0,00	0,00	85,80	0,00	0,00	0,00	0,00	0,00	0,00	85,80	5,50	0,00	22,00	13,20	0,00		173,33
				01	1001	2014	201401	201410	003	ALIKI	YIANNAKOU	25,00	0,00		1100,00	0,00	0,00	0,00	0,00	0,00	0,00	85,80	0,00	0,00	0,00	0,00	0,00	0,00	85,80	5,50	0,00	22,00	13,20	0,00		173,33
				01	1001	2014	201401	201410	005	ANDRI	CHRISTODOULOU	25,00	0,00		950,00	0,00	0,00	0,00	0,00	0,00	0,00	74,10	0,00	0,00	0,00	0,00	0,00	0,00	74,10	4,75	0,00	19,00	11,40	0,00		173,33
				01	1001	2014	201401	201410	006	STEFANOS	CONSTANTINOU	25,00	0,00		1500,00	0,00	0,00	0,00	0,00	0,00	0,00	117,00	0,00	0,00	0,00	0,00	0,00	0,00	117,00	7,50	0,00	30,00	18,00	0,00		173,33
				01	1001	2014	201401	201410	007	KYRIACOS	ANTONAKI	25,00	0,00		1035,00	0,00	0,00	0,00	0,00	0,00	0,00	80,73	0,00	0,00	0,00	0,00	0,00	0,00	80,73	5,18	0,00	20,70	12,42	0,00		207,00
				01	1001	2014	201401	201410	008	ANTIGONI	ANTONOPOULLOU	25,00	0,00		849,40	0,00	0,00	0,00	0,00	0,00	0,00	66,25	0,00	0,00	0,00	0,00	0,00	0,00	66,25	4,25	0,00	16,99	10,19	0,00		137,00
				01	1001	2014	201401	201410	009	CHRISTIANA	XENOFONTOS	25,00	0,00		166,50	0,00	0,00	0,00	0,00	0,00	0,00	12,99	0,00	0,00	0,00	0,00	0,00	0,00	12,99	0,83	0,00	3,33	2,00	0,00		37,00
				01	1001	2014	201401	201410	009	CHRISTINA	YIANNAPI	25,00	0,00		166,50	0,00	0,00	0,00	0,00	0,00	0,00	12,99	0,00	0,00	0,00	0,00	0,00	0,00	12,99	0,83	0,00	3,33	2,00	0,00		37,00
				01	1001	2014	201401	201410	010	GREGORIOS	POPRAVKIN	25,00	0,00		1952,00	0,00	0,00	0,00	0,00	0,00	0,00	152,26	0,00	0,00	0,00	0,00	0,00	5,65	152,26	9,76	0,00	39,04	23,42	5,65		173,33
				01	1001	2014	201401	201410	011	NICOLAE-CATALIN	MANAILESCU	25,00	0,00		870,00	0,00	0,00	0,00	0,00	0,00	0,00	67,86	0,00	0,00	0,00	0,00	0,00	0,00	67,86	4,35	0,00	17,40	10,44	0,00		208,00
				01	1001	2014	201401	201410	012	KATERINA	ANTONIOU	25,00	0,00		580,00	0,00	0,00	0,00	0,00	0,00	0,00	45,24	0,00	0,00	0,00	0,00	0,00	0,00	45,24	2,90	0,00	11,60	6,96	0,00		116,00
				01	1001	2014	201401	201410	013	ANDROULLA	STAVROU	25,00	0,00		520,00	0,00	0,00	0,00	0,00	0,00	0,00	40,56	0,00	0,00	0,00	0,00	0,00	0,00	40,56	2,60	0,00	10,40	6,24	0,00		104,00
																																				
																																				
																																				
